url,buildings,dates
https://nychanow.nyc/celebrating-womens-history-month-2/,"['johnson', 'riis']",{'2000'}
https://nychanow.nyc/meet-the-coaching-and-mentoring-leadership-academy-participants/,['isaacs'],"{'2023', '1991', '2020'}"
https://nychanow.nyc/celebrating-social-work-month-meet-marina-oteiza-director-of-family-partnerships/,"['grant', 'tompkins']","{'1970', '2014', '1978'}"
https://nychanow.nyc/celebrating-womens-history-month-meet-michele-moore-director-of-comprehensive-modernization/,"['moore', 'todt hill']","{'2015', '2012', '2021'}"
https://nychanow.nyc/celebrating-black-history-month-at-red-hook-houses/,['red hook west'],None
https://nychanow.nyc/daniel-barber-bhm/,"['clinton', 'jackson']","{'2018', '1972'}"
https://nychanow.nyc/board-member-raymond-miller-bhm/,"['johnson', 'smith']",{'1984'}
https://nychanow.nyc/celebrating-black-history-month-8/,['brown'],"{'2018', '4000', '2022', '2020'}"
https://nychanow.nyc/board-member-james-mckoy-bhm/,['adams'],None
https://nychanow.nyc/meet-george-gomez-supervisor-of-rees-job-generation/,['sack wern'],"{'2022', '2019'}"
https://nychanow.nyc/meet-yolanda-brooks-community-associate-in-the-office-of-public-safety-security/,"['taft', 'washington']","{'2018', '2011', '2001', '2019'}"
https://nychanow.nyc/nycha-and-resident-leaders-select-pact-partners-to-address-85m-in-repair-needs-at-metro-north-plaza-and-gaylord-white-houses/,"['adams', 'johnson', 'metro north plaza', 'robinson', 'white']","{'3610', '1400', '2024', '8531', '6200', '1988', '2022', '8500', '1893'}"
https://nychanow.nyc/meet-richard-meyers-project-manager-in-asset-capital-management/,"['jackson', 'johnson']","{'2019', '2015', '1993', '1988', '2022'}"
https://nychanow.nyc/nycha-launches-first-ever-leadership-academy-for-staff/,['woodson'],None
https://nychanow.nyc/nycha-opens-comp-mod-resident-engagement-office-at-todt-hill-houses-ahead-of-renovations/,"['moore', 'todt hill']","{'2123', '0667', '2024'}"
https://nychanow.nyc/nychas-capital-projects-roundup-december-january/,"['bushwick', 'farragut', 'gowanus', 'marshall plaza', 'nostrand']","{'2130', '9440', '5510', '2150', '3100'}"
https://nychanow.nyc/read-healthy-happenings-the-ehs-newsletter/,['brown'],"{'2022', '7187', '0777', '1000'}"
https://nychanow.nyc/resident-groups-awarded-climate-action-grants-for-community-sustainability-projects/,"['grant', 'mill brook', 'red hook west', 'wagner', 'woodside']","{'5000', '2021'}"
https://nychanow.nyc/meet-victoria-vasquez-the-voice-of-nycha/,['vladeck'],{'2012'}
