,url,class,buildings,start,end,all dates,relevance score,no. buildings mentioned
4,https://betterbuildingssolutioncenter.energy.gov/showcase-projects/new-york-city-housing-authority-344-east-28th-street,1,['grant'],None,[' completed in 2012'],"{'2017', '1971', '2010', '2014', '2012'}",1.0798267326732673,1
10,https://www.nyc.gov/office-of-the-mayor/news/043-18/mayor-de-blasio-dedicates-13-million-speed-nycha-response-heat-outages-replace-equipment,1,"['grant', 'patterson', 'pelham parkway']",None,None,"{'January 18, 2018', '2014', '1961', '2018'}",1.0139232673267315,3
13,http://nychanow.nyc/boiler-system-upgrades-on-track-for-winter-debut/,1,"['long island baptist houses', 'robinson']",['February 2021'],['February 2021'],"{'2021', '2050', '2023', 'February 2021'}",0.9709158415841581,2
29,https://nychanow.nyc/rent-collection-training-provides-staff-with-new-tools-and-insights/,0,"['carey gardens', 'grant', 'jefferson']",None,None,{'January 12'},0.40191831683168305,3
15,"https://nychanow.nyc/fence-painting-shows-community-cares/",0,"['brown', 'brownsville', 'howard']",None,None,None,0.270420792079208,3
16,https://nychanow.nyc/new-b-ball-court-at-ravenswood/,0,['ravenswood'],None,None,{'2016'},0.21225247524752475,1
18,https://nychanow.nyc/cold-day-warm-hearts/,0,['grant'],None,None,None,0.2073019801980198,1
17,https://nychanow.nyc/nycha-youth-leaders-win-grants/,0,"['brown', 'brownsville', 'bushwick', 'grant']",None,None,{'April 26'},0.20111386138613868,4
19,https://nychanow.nyc/remembering-robert-white/,0,['white'],['September 2017'],['September 2017'],"{'2014', 'September 2017', '2017', '1980'}",0.19678217821782182,1
23,https://nychanow.nyc/thomas-osei-helps-hometown-kids-in-ghana/,0,['butler'],None,None,{'2008'},0.19090346534653466,1
20,https://nychanow.nyc/getting-nycha-residents-registered/,0,"['adams', 'forest', 'moore', 'morrisania', 'morrisania air rights', 'teller avenue-east 166th street', 'webster']",None,None,"{'September 24', 'April 28, 2020', '2019', 'November 5, 2019', 'October 11, 2019', '2020', 'June 23, 2020', '2047'}",0.1816212871287129,7
21,"https://nychanow.nyc/coffee-with-the-chair/",0,['parkside'],['June 2014'],['June 2014'],"{'2014', 'June 2014'}",0.15810643564356439,1
22,https://nychanow.nyc/nycha-celebrates-hispanic-heritage/,0,"['johnson', 'taft']",None,None,{'October 25'},0.14016089108910892,2
24,https://nychanow.nyc/nycha-cuny-scholar-2/,0,['stapleton'],['March 2020'],['March 2020'],"{'2020', '2010', 'March 2020'}",0.13304455445544555,1
25,https://nychanow.nyc/reminiscing-through-theatre/,0,"['jackson', 'monroe', 'smith', 'sumner']",None,None,None,0.13304455445544555,4
26,"https://nychanow.nyc/nycha-celebrates-black-history/
",0,['lincoln'],None,None,"{'February 20', 'February 19'}",0.11169554455445546,1
28,https://nychanow.nyc/vibrant-new-mural-for-wald-houses/,0,"['grant', 'wald']",None,None,{'July 10'},0.09715346534653467,2
27,https://nychanow.nyc/snow-day-cleanup/,0,"['jefferson', 'smith']",None,None,{'March 21'},0.09375000000000001,2
