,url,buildings,dates,end,all dates,relevance score
2,https://nychanow.nyc/celebrating-social-work-month-meet-marina-oteiza-director-of-family-partnerships/,"['grant', 'tompkins']",[],[],"{'2014', '1970', '1978'}",0.3347772277227722
0,https://nychanow.nyc/celebrating-womens-history-month-2/,"['johnson', 'riis']",[],[],None,0.29641089108910884
1,https://nychanow.nyc/meet-the-coaching-and-mentoring-leadership-academy-participants/,['isaacs'],['January 2023'],['January 2023'],"{'January 2023', '2020', '1991', '2023'}",0.10643564356435646
