2020,,,,,,
Article Name,Article URL,Keywords,Start Date,End Date,All Dates,Buildings
['Residents And Stakeholders Weigh In On NYCHA Transformation Plan In Public Comment Period As Part Of Innovative Blueprint For Change'],['https://www1.nyc.gov/site/nycha/about/press/pr-2020/pr-20201231-2.page'],"['public', 'change', 'plan', 'residents', 'innovative']",[],[],"{'2020', '1900', '2023', '2019'}",[]
['HUD Awards NYCHA $24.7 Million To Support Emergency Capital Needs For Resident Safety And Security'],['https://www1.nyc.gov/site/nycha/about/press/pr-2020/pr-20201231.page'],"['resident', 'capital', 'emergency', 'hud']",[],[],"{'2020', '1900', '2023', '2019'}","['grant', 'jefferson', 'johnson', 'washington', 'whitman']"
['NYCHA Finalizes Deal To Construct 182 Units Of Affordable Housing In The Bronx'],['https://www1.nyc.gov/site/nycha/about/press/pr-2020/pr-20201229.page'],['housing'],[],[],"{'2021', '1900', '2020', '2023', '2018'}",['webster']
['NYCHA Makes Necessary Preparations Ahead Of Winter Storm Gail'],['https://www1.nyc.gov/site/nycha/about/press/pr-2020/pr-20201216.page'],"['winter', 'storm']",[],[],"{'2020', '2021', '2023'}",[]
['NYCHA Chair Greg Russ Testifies Before State Legislature At Hearing To Establish Public Trust'],['https://www1.nyc.gov/site/nycha/about/press/pr-2020/pr-20201208.page'],['public'],[],[],"{'1900', '2023'}",[]
"['NYCHA Finalizes Deal To Bring $271 Million In Comprehensive Renovations To More Than 2,900 Manhattan Residents']",['https://www1.nyc.gov/site/nycha/about/press/pr-2020/pr-20201130.page'],['residents'],[' launched in 2016'],[],"{'2019', '1900', '2020', '2016', '2023', '2003'}","['manhattanville', 'washington']"
['NYCHA Intoduces Public Comment Period For Transformation Plan Under Innovative Blueprint For Change'],['https://www1.nyc.gov/site/nycha/about/press/pr-2020/pr-20201116.page'],"['public', 'change', 'plan', 'innovative']",[],[],"{'2020', '1900', '2023', '2019'}",[]
"['NYCHA Announces New PACT Projects To Bring Comprehensive Repairs For More Than 10,000 Residents Across Brooklyn, Manhattan, And The Bronx']",['https://www1.nyc.gov/site/nycha/about/press/pr-2020/pr-20201118.page'],['residents'],[' launched in 2016'],[],"{'2019', '2021', '1900', '2020', '2016', '2023', '2003'}",['bushwick']
['NYCHA Intoduces Public Comment Period For Transformation Plan Under Innovative Blueprint For Change'],['https://www1.nyc.gov/site/nycha/about/press/pr-2020/pr-20201116.page'],"['public', 'change', 'plan', 'innovative']",[],[],"{'2020', '1900', '2023', '2019'}",[]
['NYCHA Announces Industry-leading Greenhouse Gas Reduction Efforts In Celebration Of Energy Efficiency Day'],['https://www1.nyc.gov/site/nycha/about/press/pr-2020/pr-20201007.page'],"['energy', 'efficiency', 'gas', 'greenhouse', 'reduction']",[],[],"{'2030', '2050', '1900', '2020', '2017', '2023'}",[]
['NYCHA Named 2020 Wellbeing Cities Award Laureate For Collaborative Connected Communities Initiative And Guidebook Focused On Urban Design'],['https://www1.nyc.gov/site/nycha/about/press/pr-2020/pr-20200915.page'],"['initiative', 'urban', 'design']",[],[],"{'2020', '1900', '2023'}",[]
"['NYCHA, NYC Department of Cultural Affairs, and Artbridge Help Launch “bridging the Divide” Artist Fellowship Series at Red Hook Houses']",['https://www1.nyc.gov/site/nycha/about/press/pr-2020/pr-20200912.page'],"['houses', 'department']",[],[],"{'2020', '2008', '1900', '2023'}","['chelsea', 'elliott', 'fulton', 'mitchel', 'riis']"
['NYCHA Presents a Blueprint For Change at New York Housing Conference’s 2020 Summer Series'],['https://www1.nyc.gov/site/nycha/about/press/pr-2020/pr-20200728.page'],"['housing', 'change', 'summer']",[],[],"{'2019', '1900', '2020', '1950', '2023', '1935'}",['white']
['NYC Emergency Management And The Health Department Advise New Yorkers To Prepare For Extreme Heat'],['https://www1.nyc.gov/site/em/about/press-releases/20200718_pr_nycem_advises-new-yorkers-to-prepare-for-extreme-heat.page'],"['heat', 'health', 'emergency', 'department', 'management']",[],[],"{'2020', '2023'}",['brown']
"[""NYCHA Chair Greg Russ Will Testify Before New York City Council Public Housing Committee On The Authority's 2020 Budget""]",['https://www1.nyc.gov/site/nycha/about/press/pr-2020/pr-20200313.page'],"['housing', 'public']",[],[],"{'2020', '1900', '2023', '2019'}",[]
"['NYCHA Expands Application Process for the Transfer of Unused ""Air Rights"" to Adjacent Privately-Owned Sites Citywide']",['https://www1.nyc.gov/site/nycha/about/press/pr-2020/pr-20200310.page'],"['air', 'process']",[],[],"{'2020', '2023'}",[]
['NYCHA Raises More Than $2.6 Million For Capital Repairs Through Transferable Development Rights Agreement at Hobbs Court'],['https://www1.nyc.gov/site/nycha/about/press/pr-2020/pr-20200305.page'],"['development', 'capital', 'agreement']",[],[],"{'2019', '1900', '1980', '2020', '2009', '2023'}",['metro north plaza']
"['NYCHA Finalizes Deal to Bring $370 Million in Comprehensive Renovations to More Than 6,300 Brooklyn Residents']",['https://www1.nyc.gov/site/nycha/about/press/pr-2020/pr-20200213-2.page'],['residents'],[' launched in 2016'],[],"{'2019', '1900', '2020', '2016', '2023', '2003'}",['berry']
"['NYCHA Designates Development Partners to Repair and Preserve Over 5,900 Affordable Apartments in Manhattan and Brooklyn']",['https://www1.nyc.gov/site/nycha/about/press/pr-2020/pr-20200213-1.page'],"['development', 'repair', 'preserve']",[],[],"{'2019', '1900', '2020', '2023', '2003'}","['audubon', 'bethune gardens', 'harlem river', 'marshall plaza']"
['New Version of MyNYCHA Mobile App Released With New Features Designed to Increase Ease of Use and Transparency'],['https://www1.nyc.gov/site/nycha/about/press/pr-2020/pr-20200212.page'],"['use', 'mobile']",[],[],"{'2020', '1900', '2015', '2023'}",[]
['NYCHA to Begin Testing 174 Community Centers for Lead-Based Paint Deficiencies As Part of HUD Agreement and Regulations'],['https://www1.nyc.gov/site/nycha/about/press/pr-2020/pr-20200130.page'],"['agreement', 'hud']",[],[],"{'2020', '2023', '2019'}",[]
['NYCHA Announces RFP for First Comprehensive Deep Energy Retrofit Project'],['https://www1.nyc.gov/site/nycha/about/press/pr-2020/pr-20200122.page'],"['energy', 'project', 'retrofit']",[],[],"{'2022', '2050', '1900', '2020', '2016', '2023'}","['parkside', 'ravenswood', 'south beach', 'woodside']"
['NYCHA Activates Situation Room Ahead of Coming Winter Storm Expected on Saturday'],['https://www1.nyc.gov/site/nycha/about/press/pr-2020/pr-20200117.page'],"['winter', 'expected', 'storm']",[],[],"{'2020', '1900', '2023', '2019'}",[]
['NYCHA Chair Greg Russ Will Testify Before New York City Council Public Housing Committee On Winter Preparedness Efforts'],['https://www1.nyc.gov/site/nycha/about/press/pr-2020/pr-20200115.page'],"['housing', 'public', 'winter']",[],[],"{'2019', '1900', '2020', '2017', '2023', '2018'}",[]
"['NYCHA Heat Team Plans Preventative Maintenance Outages in 8 Developments, 43 Buildings During Unseasonably Warm Weather']",['https://www1.nyc.gov/site/nycha/about/press/pr-2020/pr-20200110.page'],"['heat', 'team', 'buildings', 'developments']",[],[],"{'2020', '1900', '2023', '2019'}","['berry', 'cypress hills', 'glenwood', 'sotomayor', 'wagner']"
['First-Ever Public Housing Fitness Zone at the Carver Houses in East Harlem'],['https://www1.nyc.gov/site/nycha/about/press/pr-2020/pr-20200109.page'],"['housing', 'houses', 'public']",[],[],"{'2019', '1900', '2020', '2023', '1972'}",['carver']
['NYCHA Releases RFQs For Community Partners to Join PACT Program'],['https://www1.nyc.gov/site/nycha/about/press/pr-2020/pr-20200103.page'],['program'],[],[],"{'2019', '1900', '2020', '2000', '2023'}",[]
2019,,,,,,
Article Name,Article URL,Keywords,Start Date,End Date,All Dates,Buildings
['Federal Monitor Approves NYCHA’s Heat Action Plan'],['https://nychamonitor.com/federal-monitor-approves-nychas-heat-action-plan/'],"['heat', 'plan']",[],[],{'2019'},[]
"['NYCHA Announces Five New PACT Projects To Bring Complete Repairs To Over 5,900 Apartments In Manhattan And Brooklyn']",['https://www1.nyc.gov/site/nycha/about/press/pr-2019/pr-20190910.page'],['complete'],[' launched in 2016'],[],"{'2019', '1900', '2016', '2023', '2003'}",['bushwick']
"['City Expanding Successful Jobs-Plus Programs To Thousands More NYCHA Residents, Offering New On-Site Mental Health Services']",['https://www1.nyc.gov/site/nycha/about/press/pr-2019/pr-20190906.page'],"['health', 'site', 'residents']",[],[],"{'2019', '1900', '2000', '2016', '2023', '2013'}","['brown', 'brownsville', 'woodside']"
['NYCHA Activates Situation Room to Respond to Emergencies During Dangerous Heat Wave'],['https://www1.nyc.gov/site/nycha/about/press/pr-2019/pr-20190720.page'],"['heat', 'respond']",[],[],"{'2019', '1900', '2023', '2018'}",[]
['NYCHA Doubles Number of Developments Under Neighborhood Rat Reduction Initiative'],['https://www1.nyc.gov/site/nycha/about/press/pr-2019/pr-20190719.page'],"['reduction', 'neighborhood', 'initiative', 'developments']",[' launched in 2017'],[],"{'2019', '2017', '1900', '2023'}",[]
