2021-2023 Press Releases
Article Name,Article URL,Keywords,Start Date,End Date,All Dates,Buildings,Scores
"['ArtBridge Announces Culmination of City Artist Corps: Bridging the Divide, Celebrating the Completion of 50 Art Installations and Book Release']",['https://www.nyc.gov/site/nycha/about/press/pr-2023/pr-20230420.page'],"['program', 'project', 'housing', 'houses', 'public', 'use', 'provide', 'service', 'announced', 'initiative', 'temporary', 'department', 'construction', 'buildings', 'release', 'largescale', 'partnership', 'recovery', 'commissioner', 'installation', 'residents', 'completed', 'completion']",[],[],{'2023'},"['baruch', 'taft']",0.22493811881188125
"['Over $100 Million in Capital Repairs to Be Addressed for More Than 1,400 Residents by Newly Selected PACT Partners at West Brighton']",['https://www.nyc.gov/site/nycha/about/press/pr-2023/pr-20230418.page'],"['building', 'resident', 'program', 'heating', 'project', 'upgrade', 'housing', 'water', 'houses', 'development', 'work', 'repair', 'hot', 'capital', 'public', 'quality', 'use', 'apartment', 'working', 'provide', 'service', 'improve', 'funding', 'commitment', 'center', 'announced', 'cleaner', 'investment', 'summer', 'ventilation', 'initiative', 'site', 'department', 'step', 'sustainable', 'control', 'resource', 'team', 'island', 'management', 'construction', 'complete', 'buildings', 'financing', 'release', 'largescale', 'partnership', 'gardens', 'commissioner', 'process', 'infrastructure', 'agency', 'administration', 'future', 'helping', 'association', 'expected', 'deliver', 'living', 'developments', 'residents', 'completed', 'serve', 'improved', 'design', 'build', 'cooling', 'conducted', 'preserve', 'safer', 'waste', 'upgrades', 'planning']",[],[],"{'1935', '2005', '2022', '2023', '2021', '1984', '2024'}","['adams', 'butler', 'stapleton', 'west brighton i', 'west brighton ii']",2.0219678217821793
"['New York State Assemblymember Linda Rosenthal, New York State Senator Brian Kavanagh, Other State Legislators, NYCHA Leaders, and Residents Rally — Calling on New York State to Fund Emergency Rental Assistance for Public Housing Tenants']",['https://www.nyc.gov/site/nycha/about/press/pr-2023/pr-20230328.page'],"['program', 'housing', 'development', 'work', 'percent', 'capital', 'public', 'fund', 'use', 'goal', 'provide', 'service', 'better', 'improve', 'funding', 'environmental', 'emergency', 'department', 'management', 'construction', 'agreement', 'buildings', 'release', 'street', 'reducing', 'process', 'future', 'impact', 'hud', 'living', 'developments', 'residents', 'proposal', 'significantly', 'matter', 'urban', 'progress', 'build', 'cutting', 'consumption', 'mandated']",[],[],"{'1935', '2022', '2019', '2023', '2024'}","['adams', 'albany']",1.45358910891089
"['Over $222 Million in Capital Repair Needs Will Be Addressed for More than 2,900 Residents by PACT Partners Chosen by Manhattanville Resident Leaders']",['https://www.nyc.gov/site/nycha/about/press/pr-2023/pr-20230323.page'],"['building', 'resident', 'program', 'heating', 'project', 'housing', 'water', 'houses', 'development', 'work', 'repair', 'percent', 'lighting', 'capital', 'public', 'quality', 'use', 'apartment', 'working', 'provide', 'service', 'improve', 'funding', 'commitment', 'change', 'neighborhood', 'announced', 'investment', 'plan', 'summer', 'ventilation', 'step', 'sustainable', 'control', 'team', 'management', 'construction', 'complete', 'plaza', 'buildings', 'release', 'largescale', 'partnership', 'gardens', 'network', 'process', 'equipment', 'administration', 'future', 'association', 'deliver', 'developments', 'residents', 'serve', 'publicprivate', 'design', 'build', 'cooling', 'conducted', 'preserving', 'completion', 'upgrades', 'outlined', 'current']",[],[],"{'1971', '1997', '1935', '2022', '2013', '2023', '2021', '2024'}","['adams', 'amsterdam', 'audubon', 'bethune gardens', 'manhattanville', 'marshall plaza']",1.6516089108910896
"[""Mayor Adams Expands 'Big Apple Connect' to Deliver Free Internet, TV to More Than 300,000 New Yorkers at 200 NYCHA Developments""]",['https://www.nyc.gov/office-of-the-mayor/news/208-23/mayor-adams-expands-big-apple-connect-deliver-free-internet-tv-more-300-000-new#/0'],"['resident', 'program', 'project', 'system', 'housing', 'houses', 'work', 'cost', 'percent', 'public', 'quality', 'fund', 'use', 'goal', 'working', 'provide', 'service', 'improve', 'commitment', 'neighborhood', 'announced', 'investment', 'summer', 'initiative', 'reliable', 'emergency', 'department', 'step', 'control', 'phase', 'island', 'complete', 'district', 'utility', 'largescale', 'partnership', 'install', 'commissioner', 'issue', 'administration', 'future', 'helping', 'association', 'deliver', 'living', 'developments', 'residents', 'matter', 'available', 'vital', 'improved', 'publicprivate', 'preventing', 'vulnerable', 'achieve', 'conducted', 'innovative', 'happy', 'safer', 'completion', 'current']",[],[],{'2023'},"['adams', 'albany', 'bronx river', 'castle hill', 'jackson', 'ravenswood', 'richmond terrace', 'woodside']",1.433477722772275
['NYCHA Announces Extended Wednesday Property Management Hours'],['https://www.nyc.gov/site/nycha/about/press/pr-2023/pr-20230308.page'],"['resident', 'program', 'system', 'housing', 'development', 'work', 'repair', 'reduce', 'public', 'quality', 'use', 'apartment', 'working', 'provide', 'service', 'better', 'improvement', 'neighborhood', 'plan', 'annual', 'step', 'control', 'management', 'release', 'process', 'developments', 'residents', 'completed', 'serve', 'available', 'progress']",[],[],"{'1935', '2023', '2021', '2022'}",[],0.6890470297029702
"['NYCHA and Resident Leaders Select Hope Community and Brisa Builders to Deliver Over $75 Million Capital Improvements for More Than 1,200 Residents at Wilson Houses']",['https://www.nyc.gov/site/nycha/about/press/pr-2023/pr-20230307.page'],"['building', 'resident', 'program', 'heating', 'project', 'housing', 'houses', 'development', 'work', 'lighting', 'capital', 'public', 'quality', 'use', 'apartment', 'goal', 'working', 'provide', 'service', 'funding', 'commitment', 'neighborhood', 'plan', 'reliable', 'winter', 'team', 'management', 'construction', 'complete', 'plaza', 'conversion', 'financing', 'release', 'largescale', 'partnership', 'street', 'process', 'energyefficient', 'roof', 'agency', 'administration', 'future', 'helping', 'association', 'deliver', 'hud', 'living', 'developments', 'residents', 'serve', 'vital', 'improved', 'publicprivate', 'build', 'cooling', 'conducted', 'upgrades', 'environment']",[' built in 1961'],[],"{'1935', '1961', '2022', '2023', '2021', '1968', '2024'}","['adams', 'brown', 'brownsville', 'mitchel', 'wilson']",1.9133663366336642
"['NYCHA and Resident Leaders Select Beacon Communities, MBD Community Housing Corporation, and Kalel Holdings to Deliver $128.5 Million in Comprehensive Upgrades at Boston Secor, Boston Road Plaza, and Middletown Plaza']",['https://www.nyc.gov/site/nycha/about/press/pr-2023/pr-20230224.page'],"['building', 'resident', 'program', 'project', 'upgrade', 'housing', 'development', 'work', 'repair', 'capital', 'public', 'quality', 'use', 'apartment', 'goal', 'working', 'provide', 'service', 'improve', 'improvement', 'funding', 'commitment', 'change', 'neighborhood', 'announced', 'investment', 'plan', 'clean', 'step', 'sustainable', 'team', 'management', 'construction', 'complete', 'district', 'plaza', 'buildings', 'contribute', 'release', 'largescale', 'green', 'partnership', 'multifamily', 'process', 'convert', 'administration', 'association', 'deliver', 'living', 'developments', 'residents', 'significantly', 'improved', 'build', 'conducted', 'road', 'preserving', 'upgrades', 'current']",[' built in 1969'],[],"{'1935', '1969', '2012', '2022', '1974', '2019', '2023', '2021', '1973', '2024', '1972', '1900'}","['adams', 'boston road plaza', 'boston secor', 'middletown plaza']",2.011448019801981
"['NYCHA Announces Progress on Cloudburst Projects to Manage Stormwater, Reduce Flooding, And Improve Open Spaces at Eight NYCHA Developments in Brooklyn, Manhattan, Queens, and the Bronx']",['https://www.nyc.gov/site/nycha/about/press/pr-2023/pr-20230217.page'],"['energy', 'building', 'resident', 'program', 'project', 'system', 'housing', 'water', 'houses', 'development', 'work', 'reduce', 'air', 'capital', 'sustainability', 'public', 'quality', 'use', 'goal', 'working', 'provide', 'service', 'better', 'improve', 'funding', 'fema', 'change', 'neighborhood', 'announced', 'climate', 'cleaner', 'health', 'plan', 'initiative', 'dep', 'environmental', 'emergency', 'department', 'resource', 'team', 'management', 'construction', 'complete', 'district', 'release', 'green', 'partnership', 'gardens', 'network', 'commissioner', 'reducing', 'process', 'infrastructure', 'protection', 'future', 'helping', 'impact', 'resilient', 'developments', 'residents', 'grant', 'completed', 'serve', 'urban', 'progress', 'design', 'build', 'report', 'greener', 'pump', 'innovative', 'upgrades', 'planning', 'environment']",[],[' completed in 2018'],"{'2018', '2023', '2021', '1935'}","['adams', 'breukelen', 'bronx river', 'butler', 'clinton', 'edenwald', 'grant', 'ingersoll', 'jefferson', 'low houses', 'nostrand', 'wald', 'woodside']",1.5423886138613847
['NYCHA and Resident Leaders Select National and Local Non-Profit PACT Partners The Community Builders and Ascendant Neighborhood Development to Address $85 Million in Repair Needs at Metro North Plaza and Gaylord White Houses'],['https://www.nyc.gov/site/nycha/about/press/pr-2023/pr-20230213.page'],"['building', 'resident', 'program', 'boiler', 'heating', 'project', 'upgrade', 'system', 'housing', 'water', 'houses', 'development', 'work', 'repair', 'percent', 'lighting', 'capital', 'public', 'quality', 'fund', 'use', 'working', 'provide', 'service', 'better', 'funding', 'commitment', 'change', 'center', 'neighborhood', 'replace', 'power', 'investment', 'plan', 'ventilation', 'electrical', 'brickwork', 'team', 'management', 'construction', 'complete', 'installed', 'plaza', 'buildings', 'conversion', 'release', 'largescale', 'partnership', 'recovery', 'process', 'energyefficient', 'equipment', 'protection', 'administration', 'future', 'association', 'expected', 'deliver', 'developments', 'residents', 'proposal', 'serve', 'vital', 'improved', 'urban', 'design', 'cooling', 'preserving', 'completion', 'upgrades', 'outlined', 'operate']",[],[],"{'1935', '2022', '2023', '1988', '2024'}","['adams', 'johnson', 'metro north plaza', 'robinson', 'white']",2.0813737623762374
"['NYCHA and Resident Leaders Select Vaya Development, Ascendant Neighborhood Development, and McCormack Baron Salazar as PACT Partners to Address $189.3 Million in Repair Needs for 10 Residential Buildings Across Central and East Harlem']",['https://www.nyc.gov/site/nycha/about/press/pr-2023/pr-20230119.page'],"['building', 'resident', 'program', 'heating', 'project', 'system', 'housing', 'houses', 'development', 'work', 'repair', 'capital', 'public', 'quality', 'use', 'apartment', 'working', 'provide', 'service', 'better', 'improve', 'commitment', 'change', 'center', 'neighborhood', 'announced', 'investment', 'plan', 'environmental', 'site', 'step', 'sustainable', 'team', 'management', 'construction', 'buildings', 'contribute', 'conversion', 'release', 'partnership', 'process', 'convert', 'administration', 'future', 'association', 'expected', 'deliver', 'resilient', 'living', 'developments', 'residents', 'bathroom', 'serve', 'significantly', 'available', 'vital', 'urban', 'design', 'build', 'happy', 'safer', 'preserving', 'modernize', 'upgrades', 'current', 'planning']",[],[],"{'1935', '2022', '2023', '1987', '2021', '1970', '1900'}","['131 saint nicholas avenue', 'adams', 'corsi houses', 'morris park senior citizens home', 'robinson', 'saint nicholas', 'taft', 'white']",2.021658415841584
"['NYCHA and Partners Begin $137.6 Million PACT Modernization Project at Audubon Houses, Bethune Gardens, and Marshall Plaza in Upper Manhattan']",['https://www.nyc.gov/site/nycha/about/press/pr-2023/pr-20230111.page'],"['building', 'resident', 'program', 'heating', 'project', 'system', 'housing', 'heat', 'houses', 'development', 'work', 'percent', 'lighting', 'capital', 'public', 'quality', 'fund', 'use', 'working', 'provide', 'service', 'improve', 'funding', 'commitment', 'center', 'investment', 'plan', 'electricity', 'interior', 'light', 'electrical', 'clean', 'department', 'control', 'team', 'management', 'construction', 'plaza', 'buildings', 'conversion', 'financing', 'release', 'gardens', 'street', 'process', 'installation', 'energyefficient', 'infrastructure', 'administration', 'association', 'deliver', 'hud', 'living', 'developments', 'residents', 'serve', 'available', 'prevent', 'improved', 'urban', 'cooling', 'natural', 'modernize', 'waste', 'upgrades']","[' built in 1962', ' built in 1986']",[],"{'1935', '1967', '1962', '1986', '2022', '2019', '2023'}","['adams', 'amsterdam', 'audubon', 'bethune gardens', 'marshall plaza', 'washington']",1.936881188118812
"['Mayor Adams, Governor Hochul, NYCHA Undertake Effort to Replace Elevators in Developments Serving Nearly 34,000 Residents']",['https://www.nyc.gov/site/nycha/about/press/pr-2023/pr-2023106.page'],"['building', 'resident', 'program', 'project', 'upgrade', 'system', 'housing', 'water', 'heat', 'houses', 'development', 'work', 'percent', 'capital', 'public', 'quality', 'replacement', 'use', 'goal', 'working', 'provide', 'service', 'better', 'improve', 'improvement', 'funding', 'commitment', 'neighborhood', 'replace', 'announced', 'health', 'investment', 'plan', 'initiative', 'reliable', 'department', 'step', 'phase', 'team', 'island', 'construction', 'complete', 'installed', 'district', 'agreement', 'buildings', 'financing', 'release', 'largescale', 'measure', 'partnership', 'street', 'multifamily', 'process', 'infrastructure', 'administration', 'association', 'deliver', 'replacing', 'living', 'developments', 'residents', 'completed', 'recent', 'serve', 'available', 'vital', 'improved', 'urban', 'invest', 'safer', 'preserving', 'upgrades', 'outlined', 'planning', 'operate']",[],[],"{'2020', '2028', '2022', '2019', '1990', '2023', '2021'}","['adams', 'albany', 'brown', 'brownsville', 'gowanus', 'gun hill', 'lafayette', 'marcy', 'nostrand', 'sheepshead bay', 'straus', 'taft', 'woodson']",1.7571163366336615
