Training Dataset,,,,,,,
Article Name,Article URL,Keywords,Start Date,End Date,All Dates,Buildings,Scores
"['Mayor de Blasio and DEP Announce That All 5,300 Buildings Have Discontinued Use of Most Polluting Heating Oil, Leading to Significantly Cleaner Air']",['https://www.nyc.gov/office-of-the-mayor/news/152-16/mayor-de-blasio-dep-that-all-5-300-buildings-have-discontinued-use-most-polluting'],"['energy', 'building', 'program', 'boiler', 'heating', 'project', 'system', 'water', 'heat', 'work', 'cost', 'efficiency', 'reduce', 'percent', 'air', 'capital', 'sustainability', 'public', 'oil', 'quality', 'fund', 'emission', 'use', 'goal', 'working', 'provide', 'better', 'improve', 'improvement', 'gas', 'greenhouse', 'commitment', 'reduction', 'change', 'fuel', 'carbon', 'conservation', 'announced', 'climate', 'cleaner', 'health', 'boilers', 'annual', 'retrofit', 'initiative', 'dep', 'environmental', 'clean', 'source', 'department', 'step', 'sustainable', 'control', 'phase', 'resource', 'team', 'island', 'management', 'buildings', 'accelerator', 'onenyc', 'contribute', 'conversion', 'pollution', 'financing', 'release', 'utility', 'commissioner', 'reducing', 'issue', 'process', 'incentive', 'installation', 'burning', 'death', 'convert', 'protection', 'healthier', 'administration', 'sulfur', 'breathe', 'future', 'standard', 'helping', 'association', 'expected', 'residents', 'significantly', 'particulate', 'matter', 'premature', 'available', 'eliminating', 'vital', 'lung', 'prevent', 'improved', 'preventing', 'cleanest', 'vulnerable', 'achieve', 'dioxide', 'nitrogen', 'ghg', 'metric', 'outreach', 'cutting', 'greener', 'natural', 'conducted', 'pump', 'upgrades', 'polluting', 'oxide', 'respiratory', 'irritant', 'environment']",[],[],"{'2050', '2000', '2016', '1960', '2030', '2009', '2008', '2011', '2025', '2015'}","['brown', 'johnson']",2.812809406
['NYCHA BEGINS WORK ON LARGEST PUBLIC HOUSING ENERGY SAVINGS PROGRAM IN THE NATION'],['https://www.nyc.gov/site/nycha/about/press/pr-2017/nycha-begins-work-on-largest-public-housing-energy-savings-program-in-the-nation-20170406.page'],"['energy', 'building', 'resident', 'program', 'boiler', 'heating', 'project', 'upgrade', 'housing', 'water', 'houses', 'development', 'work', 'cost', 'efficiency', 'reduce', 'percent', 'lighting', 'hot', 'capital', 'sustainability', 'epc', 'public', 'quality', 'replacement', 'use', 'apartment', 'goal', 'working', 'provide', 'service', 'better', 'improve', 'gas', 'epcs', 'greenhouse', 'commitment', 'reduction', 'change', 'performance', 'carbon', 'conservation', 'announced', 'climate', 'plan', 'summer', 'ventilation', 'annual', 'retrofit', 'initiative', 'electricity', 'interior', 'environmental', 'light', 'efficient', 'department', 'step', 'sustainable', 'dollar', 'phase', 'resiliency', 'construction', 'complete', 'installed', 'challenge', 'district', 'buildings', 'onenyc', 'contribute', 'release', 'utility', 'largescale', 'green', 'partnership', 'recovery', 'install', 'weatherization', 'gardens', 'reducing', 'installation', 'generate', 'ameresco', 'brighter', 'healthier', 'administration', 'future', 'association', 'expected', 'deliver', 'resilient', 'replacing', 'huds', 'hud', 'living', 'footprint', 'developments', 'residents', 'generation', 'vital', 'urban', 'invest', 'publicprivate', 'hurricane', 'progress', 'gcf', 'emissionreduction', 'achieve', 'outreach', 'cutting', 'greener', 'natural', 'preserve', 'financed', 'innovative', 'diode', 'waterconserving', 'happy', 'safer', 'road', 'consumption', 'preserving', 'precious', 'upgrades', 'operate', 'environment']",[],[],"{'2050', '2000', '2016', '2017', '2023', '2018'}","['clason point gardens', 'vladeck', 'whitman']",3.860767327
"['NYCHA Announces Completion of New Lighting at 18 Developments in Brooklyn, Benefitting More Than 36,000 Residents']",['https://www.nyc.gov/site/nycha/about/press/pr-2017/new-lighting-announcement-20170602.page'],"['energy', 'resident', 'program', 'heating', 'project', 'housing', 'water', 'work', 'cost', 'efficiency', 'reduce', 'percent', 'lighting', 'hot', 'capital', 'sustainability', 'public', 'quality', 'fund', 'use', 'goal', 'working', 'provide', 'service', 'better', 'improve', 'gas', 'funding', 'greenhouse', 'reduction', 'change', 'performance', 'carbon', 'neighborhood', 'announced', 'climate', 'demand', 'power', 'plan', 'summer', 'ventilation', 'annual', 'initiative', 'electricity', 'interior', 'energyefficiency', 'electrical', 'reliable', 'efficient', 'phase', 'management', 'construction', 'installed', 'challenge', 'district', 'buildings', 'onenyc', 'contribute', 'release', 'utility', 'largescale', 'partnership', 'incentive', 'installation', 'generate', 'brighter', 'energyefficient', 'nextgeneration', 'helping', 'replacing', 'living', 'developments', 'residents', 'emissionreduction', 'benefitting', 'preserve', 'diode', 'safer', 'road', 'completion', 'grid', 'upgrades', 'operate', 'environment']",[],[],"{'2017', '2023', '2018'}",[],1.653465347
"['NYCHA ANNOUNCES NEW $104.6 MILLION ENERGY CONTRACT TO IMPROVE EFFICIENCY, HEATING AT 15 DEVELOPMENTS']",['https://www.nyc.gov/site/nycha/about/press/pr-2018/pr-20181023.page'],"['energy', 'building', 'resident', 'program', 'heating', 'project', 'upgrade', 'housing', 'water', 'heat', 'development', 'work', 'cost', 'efficiency', 'reduce', 'percent', 'lighting', 'hot', 'capital', 'sustainability', 'epc', 'public', 'quality', 'use', 'goal', 'working', 'provide', 'service', 'better', 'improve', 'epcs', 'saving', 'funding', 'commitment', 'reduction', 'change', 'performance', 'fuel', 'conservation', 'replace', 'announced', 'climate', 'ventilation', 'annual', 'initiative', 'interior', 'light', 'clean', 'department', 'sustainable', 'construction', 'complete', 'buildings', 'contribute', 'financing', 'release', 'largescale', 'green', 'partnership', 'install', 'reducing', 'ameresco', 'nextgeneration', 'infrastructure', 'future', 'expected', 'deliver', 'huds', 'hud', 'living', 'developments', 'residents', 'completed', 'significantly', 'vital', 'urban', 'invest', 'publicprivate', 'gcf', 'consumption', 'precious', 'modernize', 'upgrades']",[],[],"{'2026', '2020', '2016', '2000', '2025', '2015', '2023', '2018'}",[],2.503712871
['NEW YORK CITY HOUSING AUTHORITY: 344 EAST 28TH STREET'],['https://betterbuildingssolutioncenter.energy.gov/showcase-projects/new-york-city-housing-authority-344-east-28th-street'],"['energy', 'building', 'heating', 'project', 'upgrade', 'system', 'housing', 'water', 'heat', 'cost', 'efficiency', 'reduce', 'percent', 'lighting', 'hot', 'capital', 'use', 'apartment', 'better', 'reduction', 'performance', 'fuel', 'carbon', 'conservation', 'neighborhood', 'boilers', 'retrofit', 'steam', 'temperature', 'source', 'resource', 'challenge', 'district', 'buildings', 'utility', 'recovery', 'distribution', 'street', 'multifamily', 'reducing', 'cold', 'expected', 'replacing', 'developments', 'residents', 'generation', 'grant', 'completed', 'recent', 'eliminating', 'improved', 'pump', 'consumption', 'gshp', 'waste', 'heater', 'upgrades']",[],"[' constructed in 1971', ' completed in 2012']","{'2014', '2000', '2010', '2012', '1971', '2017', '2015'}",['grant'],1.788675743
['$105 Million in Energy-Efficiency Upgrades Coming to 15 Developments'],['http://nychanow.nyc/105-million-in-energy-efficiency-upgrades-coming-to-15-developments/'],"['energy', 'building', 'program', 'heating', 'project', 'upgrade', 'housing', 'water', 'heat', 'development', 'work', 'reduce', 'percent', 'lighting', 'capital', 'sustainability', 'epc', 'quality', 'use', 'goal', 'provide', 'service', 'epcs', 'funding', 'performance', 'conservation', 'replace', 'ventilation', 'interior', 'energyefficiency', 'light', 'department', 'sustainable', 'contribute', 'green', 'partnership', 'install', 'generate', 'ameresco', 'infrastructure', 'future', 'deliver', 'developments', 'residents', 'vital', 'urban', 'invest', 'benefitting', 'precious', 'modernize', 'upgrades']",[],[],"{'2026', '2020', '2025'}",[],0.945544554
['NYCHA Begins $69 Million in Capital Improvements and Renovations'],['https://www.nyc.gov/site/nycha/about/press/pr-2012/nycha-begins-69-million-in-capital-improvements-and-renovations.page'],"['resident', 'program', 'boiler', 'heating', 'housing', 'development', 'work', 'repair', 'percent', 'capital', 'public', 'quality', 'fund', 'replacement', 'use', 'service', 'better', 'improve', 'funding', 'plan', 'annual', 'interior', 'brickwork', 'department', 'management', 'construction', 'complete', 'buildings', 'financing', 'release', 'process', 'roof', 'agency', 'association', 'huds', 'hud', 'living', 'developments', 'residents', 'proposal', 'available', 'improved', 'urban', 'design', 'preserve', 'upgrades', 'outlined', 'opposed', 'mandated', 'current', 'planning', 'spending', 'environment']",[],[],"{'2013', '2023', '2012'}",['grant'],0.664913366
['NYCHA SEEKS A PARTNER FOR STATE-OF-THE-ART MICROGRID; HEAT & POWER GENERATION SYSTEM AT RED HOOK HOUSES'],['https://www.nyc.gov/site/nycha/about/press/pr-2016/nycha-seeks-a-partner-for-state-of-the-art-microgrid-20160622.page'],"['energy', 'building', 'program', 'boiler', 'project', 'system', 'housing', 'water', 'heat', 'houses', 'work', 'reduce', 'hot', 'sustainability', 'public', 'quality', 'use', 'working', 'provide', 'service', 'better', 'gas', 'greenhouse', 'commitment', 'reduction', 'change', 'carbon', 'neighborhood', 'replace', 'announced', 'climate', 'power', 'plan', 'initiative', 'electricity', 'energyefficiency', 'light', 'electrical', 'reliable', 'steam', 'microgrid', 'emergency', 'plant', 'efficient', 'step', 'sustainable', 'control', 'resiliency', 'district', 'buildings', 'onenyc', 'contribute', 'release', 'recovery', 'distribution', 'network', 'nextgeneration', 'infrastructure', 'future', 'deliver', 'resilient', 'developments', 'residents', 'generation', 'recent', 'proposal', 'serve', 'available', 'eliminating', 'prevent', 'improved', 'hurricane', 'emissionreduction', 'design', 'stateoftheart', 'build', 'cogeneration', 'study', 'superstorm', 'vulnerable', 'achieve', 'cutting', 'natural', 'grid', 'outlined', 'planning', 'operate', 'voltage']",[],[],"{'2016', '2023'}","['adams', 'red hook east']",1.820544554
"['CHUCK PUSHED FOR NEW BOILER FUNDINGClimate Control is a Year-Round Issue at NYCHA, Especially for Seniors']",['https://www.nyrealestatelawblog.com/manhattan-litigation-blog/2014/march/chuck-pushed-for-new-boiler-funding/'],"['program', 'boiler', 'housing', 'water', 'heat', 'work', 'cost', 'repair', 'percent', 'hot', 'public', 'quality', 'replacement', 'working', 'provide', 'service', 'improve', 'funding', 'fema', 'commitment', 'change', 'replace', 'announced', 'investment', 'boilers', 'electricity', 'reliable', 'emergency', 'temporary', 'source', 'winter', 'step', 'team', 'island', 'management', 'resiliency', 'complete', 'challenge', 'agreement', 'buildings', 'recovery', 'install', 'process', 'infrastructure', 'cold', 'agency', 'death', 'replacing', 'living', 'developments', 'residents', 'grant', 'completed', 'serve', 'storm', 'damaged', 'progress', 'stateoftheart', 'superstorm', 'mobile', 'preventing', 'upgrades', 'opposed', 'current', 'spending']",[],[],"{'2014', '2016'}","['coney island', 'grant', 'washington']",1.20884901
['Mayor de Blasio Dedicates $13 Million to Speed NYCHA Response to Heat Outages and Replace Equipment at Hardest-Hit Buildings'],['https://citylimits.org/2019/10/23/climate-control-is-a-year-round-issue-at-nycha-especially-for-seniors/'],"['building', 'program', 'boiler', 'heating', 'project', 'upgrade', 'system', 'housing', 'heat', 'development', 'repair', 'percent', 'hot', 'air', 'public', 'fund', 'use', 'apartment', 'working', 'provide', 'service', 'better', 'funding', 'change', 'center', 'climate', 'health', 'summer', 'ventilation', 'environmental', 'electrical', 'reliable', 'emergency', 'temporary', 'unit', 'winter', 'hvac', 'management', 'complete', 'agreement', 'buildings', 'release', 'install', 'effect', 'issue', 'cold', 'administration', 'future', 'expected', 'impact', 'developments', 'residents', 'completed', 'prevent', 'urban', 'study', 'conditioner', 'report', 'fix', 'cooling', 'hottest', 'voltage']",[],[],"{'2013', '1976', '1960', '2019', '2023', '2018'}","['castle hill', 'johnson', 'meltzer tower', 'white']",1.114789604
